product_id,product_name,full_front_text,front_ocr_success,ingredient_list,nutrition,back_ocr_success,extraction_status,num_images_processed,nova_class,nutrient_profile,High_Sodium_Predicted,High_Sugar_Predicted,High_Fat_Predicted,High_Sat_Fat_Predicted,High_Added_Sugar_Predicted,High_Energy_Predicted,nova_score,profile_score,total_healthiness_score,healthiness_rank,compliant
BC2,quaker oats,,False,100% rolled oat,"{'energy_kcal': 356.0, 'fat_g': 8.0, 'saturated_fat_g': 1.5, 'sugar_g': 1.1, 'added_sugar_g': None, 'sodium_mg': None}",False,Ground Truth Fallback,0,Minimally Processed,0,False,False,False,False,False,False,3,3,6.0,Healthier,True
Pa12,Twist Cavato,,False,Hard wheat semolina,"{'energy_kcal': 344.0, 'carbohydrates_g': None, 'protein_g': None, 'fat_g': 1.2, 'saturated_fat_g': None, 'sugar_g': None, 'added_sugar_g': None, 'sodium_mg': None, 'serving_size': None, 'is_per_100': False}",False,Front & Back Processed,1,Minimally Processed,0,False,False,False,False,False,False,3,3,6.0,Healthier,True
Pa11,Power Pasta,,False,made from hard wheat,"{'energy_kcal': 360.0, 'fat_g': 1.2, 'saturated_fat_g': None, 'sugar_g': None, 'added_sugar_g': None, 'sodium_mg': None}",False,Ground Truth Fallback,0,Minimally Processed,0,False,False,False,False,False,False,3,3,6.0,Healthier,True
Pa10,Honeywell Spaghetti,,False,"wheat semolina, local grains (sorghum flour, maize flour)","{'energy_kcal': 274.0, 'fat_g': 1.1, 'saturated_fat_g': 0.08, 'sugar_g': 5.6, 'added_sugar_g': None, 'sodium_mg': None}",False,Ground Truth Fallback,0,Minimally Processed,0,False,False,False,False,False,False,3,3,6.0,Healthier,True
Pa9,Crown Premium Spaghetti,,False,Semolina from durum and hard wheat,"{'energy_kcal': 344.0, 'fat_g': 1.2, 'saturated_fat_g': None, 'sugar_g': None, 'added_sugar_g': None, 'sodium_mg': None}",False,Ground Truth Fallback,0,Minimally Processed,0,False,False,False,False,False,False,3,3,6.0,Healthier,True
Pa7,Penne Pasta,,False,"Durum wheat semolina, water","{'energy_kcal': 351.0, 'fat_g': 1.2, 'saturated_fat_g': 0.2, 'sugar_g': 1.7, 'added_sugar_g': None, 'sodium_mg': 99.0}",False,Ground Truth Fallback,0,Minimally Processed,0,False,False,False,False,False,False,3,3,6.0,Healthier,True
CO21,VIPS Farms Palm Oil,,False,Banga Oil,"{'energy_kcal': None, 'fat_g': None, 'saturated_fat_g': None, 'sugar_g': None, 'added_sugar_g': None, 'sodium_mg': None}",False,Ground Truth Fallback,0,Minimally Processed,0,False,False,False,False,False,False,3,3,6.0,Healthier,True
CO20,Chtourra Olive Oil,,False,,"{'energy_kcal': None, 'fat_g': None, 'saturated_fat_g': None, 'sugar_g': None, 'added_sugar_g': None, 'sodium_mg': None}",False,Ground Truth Fallback,0,Minimally Processed,0,False,False,False,False,False,False,3,3,6.0,Healthier,True
AW6,Sierra Tequila,,False,"Tequila, water","{'energy_kcal': None, 'fat_g': None, 'saturated_fat_g': None, 'sugar_g': None, 'added_sugar_g': None, 'sodium_mg': None}",False,Ground Truth Fallback,0,Minimally Processed,0,False,False,False,False,False,False,3,3,6.0,Healthier,True
CO2,Grand Pure Soya Oil,,False,,"{'energy_kcal': None, 'fat_g': None, 'saturated_fat_g': None, 'sugar_g': None, 'added_sugar_g': None, 'sodium_mg': None}",False,Ground Truth Fallback,0,Minimally Processed,0,False,False,False,False,False,False,3,3,6.0,Healthier,True
