product_id,NOVA_Predicted,nutrient_profile,High_Sodium_Predicted,High_Sugar_Predicted,High_Fat_Predicted,High_Sat_Fat_Predicted,High_Added_Sugar_Predicted,High_Energy_Predicted
BC1,Ultra Processed,1,False,False,True,False,False,False
BC2,Minimally Processed,0,False,False,False,False,False,False
BC3,Ultra Processed,2,False,True,True,False,False,False
BC4,Ultra Processed,2,True,True,False,False,False,False
BC5,Processed,2,True,True,False,False,False,False
BC6,Processed,2,True,True,False,False,False,False
BC7,Minimally Processed,0,False,False,False,False,False,False
BC8,Ultra Processed,1,True,False,False,False,False,False
BC9,Ultra Processed,1,True,False,False,False,False,False
BC10,Processed,1,False,True,False,False,False,False
BC11,Ultra Processed,2,False,True,True,False,False,False
BC12,Ultra Processed,0,False,False,False,False,False,False
BC13,Ultra Processed,1,False,True,False,False,False,False
BC14,Ultra Processed,2,True,True,False,False,False,False
BC15,Ultra Processed,1,False,True,False,False,False,False
BC16,Ultra Processed,2,True,True,False,False,False,False
BC17,Minimally Processed,1,True,False,False,False,False,False
BC18,Ultra Processed,2,True,True,False,False,False,False
IF19,Ultra Processed,1,False,False,True,False,False,False
IF20,Ultra Processed,2,True,False,True,False,False,False
IF21,Ultra Processed,1,False,True,False,False,False,False
IF22,Ultra Processed,0,False,False,False,False,False,False
IF23,Ultra Processed,3,True,True,True,False,False,False
IF24,Ultra Processed,1,False,False,True,False,False,False
IF25,Ultra Processed,2,True,False,True,False,False,False
IF26,Ultra Processed,2,True,False,True,False,False,False
IF27,Ultra Processed,0,False,False,False,False,False,False
IF28,Ultra Processed,0,False,False,False,False,False,False
IF29,Ultra Processed,2,True,False,True,False,False,False
IF30,Minimally Processed,2,True,False,True,False,False,False
IF31,Ultra Processed,2,True,False,True,False,False,False
IF32,Ultra Processed,2,True,False,True,False,False,False
IF33,Ultra Processed,2,True,False,True,False,False,False
IF1,Ultra Processed,1,False,False,True,False,False,False
SD34,Ultra Processed,1,False,True,False,False,False,False
SD35,Ultra Processed,0,False,False,False,False,False,False
SD36,Ultra Processed,0,False,False,False,False,False,False
SD37,Processed,1,False,True,False,False,False,False
SD38,Ultra Processed,1,False,True,False,False,False,False
MD302,Ultra Processed,1,False,True,False,False,False,False
MD303,Ultra Processed,0,False,False,False,False,False,False
SD39,Ultra Processed,0,False,False,False,False,False,False
SD40,Ultra Processed,1,False,True,False,False,False,False
MD304,Processed,1,False,True,False,False,False,False
MD310,Ultra Processed,1,False,True,False,False,False,False
MD311,Ultra Processed,0,False,False,False,False,False,False
MD312,Ultra Processed,2,True,True,False,False,False,False
SD41,Ultra Processed,0,False,False,False,False,False,False
SD42,Ultra Processed,1,False,True,False,False,False,False
SD43,Ultra Processed,0,False,False,False,False,False,False
SD44,Ultra Processed,0,False,False,False,False,False,False
SD45,Ultra Processed,1,False,True,False,False,False,False
SD46,Ultra Processed,0,False,False,False,False,False,False
SD1,Ultra Processed,1,False,True,False,False,False,False
SD2,Minimally Processed,0,False,False,False,False,False,False
SD3,Ultra Processed,0,False,False,False,False,False,False
SD4,Ultra Processed,1,False,True,False,False,False,False
SD5,Ultra Processed,0,False,False,False,False,False,False
SD6,Ultra Processed,1,False,True,False,False,False,False
SD7,Minimally Processed,1,False,True,False,False,False,False
SD8,Ultra Processed,0,False,False,False,False,False,False
SD9,Ultra Processed,1,False,True,False,False,False,False
SD10,Minimally Processed,1,False,True,False,False,False,False
SD11,Ultra Processed,1,False,True,False,False,False,False
SD12,Minimally Processed,1,False,True,False,False,False,False
SD47,Ultra Processed,0,False,False,False,False,False,False
SD48,Ultra Processed,1,False,True,False,False,False,False
SD49,Ultra Processed,0,False,False,False,False,False,False
SD50,Ultra Processed,1,False,True,False,False,False,False
SD51,Ultra Processed,1,False,True,False,False,False,False
SD52,Ultra Processed,0,False,False,False,False,False,False
MD307,Processed,0,False,False,False,False,False,False
MD308,Ultra Processed,1,False,True,False,False,False,False
MD313,Ultra Processed,0,False,False,False,False,False,False
MD309,Ultra Processed,1,False,True,False,False,False,False
SD53,Ultra Processed,0,False,False,False,False,False,False
SD54,Ultra Processed,0,False,False,False,False,False,False
MD305,Processed,0,False,False,False,False,False,False
SD55,Ultra Processed,0,False,False,False,False,False,False
SD56,Ultra Processed,0,False,False,False,False,False,False
MD306,Ultra Processed,0,False,False,False,False,False,False
SD57,Ultra Processed,0,False,False,False,False,False,False
SD58,Ultra Processed,0,False,False,False,False,False,False
SD59,Ultra Processed,0,False,False,False,False,False,False
DC314,Ultra Processed,3,True,False,True,True,False,False
M60,Ultra Processed,1,False,False,True,False,False,False
M61,Ultra Processed,2,True,False,True,False,False,False
M62,Ultra Processed,3,True,False,True,True,False,False
M63,Ultra Processed,1,False,False,True,False,False,False
M64,Processed,3,False,True,True,True,False,False
M65,Processed,2,True,False,True,False,False,False
M66,Ultra Processed,1,False,False,True,False,False,False
M67,Processed,2,False,False,True,True,False,False
M68,Processed,2,False,False,True,True,False,False
M69,Processed,2,False,False,True,True,False,False
M70,Processed,2,True,False,True,False,False,False
M71,Ultra Processed,1,False,False,True,False,False,False
M72,Ultra Processed,2,True,False,True,False,False,False
M73,Ultra Processed,1,False,False,True,False,False,False
M15,Ultra Processed,2,False,False,True,True,False,False
M16,Ultra Processed,0,False,False,False,False,False,False
M17,Minimally Processed,0,False,False,False,False,False,False
M18,Processed,1,False,False,True,False,False,False
M19,Ultra Processed,3,False,True,True,True,False,False
DC74,Ultra Processed,1,False,True,False,False,False,False
DC75,Ultra Processed,0,False,False,False,False,False,False
DC76,Ultra Processed,0,False,False,False,False,False,False
N77,Ultra Processed,3,True,False,True,True,False,False
N78,Ultra Processed,3,True,False,True,True,False,False
N79,Ultra Processed,3,True,False,True,True,False,False
N80,Ultra Processed,4,True,True,True,True,False,False
N81,Ultra Processed,2,True,False,True,False,False,False
N82,Ultra Processed,2,True,False,True,False,False,False
N83,Ultra Processed,4,True,True,True,True,False,False
N84,Ultra Processed,3,True,False,True,True,False,False
N85,Ultra Processed,3,True,False,True,True,False,False
N86,Ultra Processed,3,True,False,True,True,False,False
N87,Ultra Processed,3,True,False,True,True,False,False
N88,Ultra Processed,3,True,False,True,True,False,False
N89,Ultra Processed,3,True,False,True,True,False,False
N90,Ultra Processed,3,True,False,True,True,False,False
N91,Ultra Processed,4,True,True,True,True,False,False
N92,Ultra Processed,3,True,False,True,True,False,False
N93,Ultra Processed,3,True,False,True,True,False,False
N94,Ultra Processed,2,False,False,True,True,False,False
FM95,Processed,2,True,False,True,False,False,False
FM96,Processed,2,True,False,True,False,False,False
FM97,Processed,2,True,False,True,False,False,False
FM98,Processed,2,True,False,False,True,False,False
FM99,Processed,2,True,False,True,False,False,False
FM100,Ultra Processed,1,True,False,False,False,False,False
FM101,Processed,2,True,False,True,False,False,False
FM102,Ultra Processed,3,True,False,True,True,False,False
FM103,Ultra Processed,0,False,False,False,False,False,False
FM104,Processed,2,True,False,True,False,False,False
FM105,Ultra Processed,0,False,False,False,False,False,False
FM106,Ultra Processed,0,False,False,False,False,False,False
FM107,Processed,1,True,False,False,False,False,False
FM108,Processed Culinary Ingredients,1,True,False,False,False,False,False
FM109,Ultra Processed,0,False,False,False,False,False,False
FM110,Ultra Processed,0,False,False,False,False,False,False
FM111,Ultra Processed,0,False,False,False,False,False,False
FM112,Ultra Processed,3,True,False,True,True,False,False
FM113,Ultra Processed,2,True,False,True,False,False,False
FM114,Processed,2,True,False,False,True,False,False
FM115,Ultra Processed,3,True,False,True,True,False,False
FM116,Processed,2,True,False,True,False,False,False
FM117,Processed,0,False,False,False,False,False,False
FM118,Processed,2,True,False,True,False,False,False
FM119,Processed,3,True,False,True,True,False,False
FM120,Processed,2,True,False,True,False,False,False
DC121,Processed,1,False,False,True,False,False,False
DC122,Processed,4,True,True,True,True,False,False
DC123,Ultra Processed,2,True,True,False,False,False,False
DC124,Ultra Processed,3,False,True,True,True,False,False
DC125,Processed,0,False,False,False,False,False,False
DC126,Ultra Processed,4,True,True,True,True,False,False
DC127,Ultra Processed,1,False,False,True,False,False,False
DC128,Ultra Processed,4,True,True,True,True,False,False
DC129,Ultra Processed,4,True,True,True,True,False,False
DC130,Processed,3,True,False,True,True,False,False
DC131,Processed,4,True,True,True,True,False,False
DC132,Processed,1,False,False,True,False,False,False
DC133,Ultra Processed,3,True,True,True,False,False,False
DC134,Processed,0,False,False,False,False,False,False
DC135,Ultra Processed,3,True,True,False,True,False,False
DC136,Processed Culinary Ingredients,0,False,False,False,False,False,False
HSC137,Processed,1,True,False,False,False,False,False
HSC138,Ultra Processed,1,True,False,False,False,False,False
HSC139,Minimally Processed,0,False,False,False,False,False,False
HSC140,Ultra Processed,0,False,False,False,False,False,False
HSC141,Ultra Processed,1,True,False,False,False,False,False
HSC142,Ultra Processed,2,True,True,False,False,False,False
HSC143,Ultra Processed,2,True,True,False,False,False,False
HSC144,Minimally Processed,0,False,False,False,False,False,False
HSC145,Minimally Processed,0,False,False,False,False,False,False
HSC146,Ultra Processed,1,True,False,False,False,False,False
HSC147,Minimally Processed,0,False,False,False,False,False,False
HSC148,Minimally Processed,0,False,False,False,False,False,False
HSC149,Minimally Processed,0,False,False,False,False,False,False
HSC150,Minimally Processed,0,False,False,False,False,False,False
HSC151,Minimally Processed,0,False,False,False,False,False,False
HSC152,Ultra Processed,0,False,False,False,False,False,False
HSC153,Processed,0,False,False,False,False,False,False
HSC154,Minimally Processed,0,False,False,False,False,False,False
HSC155,Ultra Processed,0,False,False,False,False,False,False
HSC156,Ultra Processed,0,False,False,False,False,False,False
HSC157,Minimally Processed,0,False,False,False,False,False,False
HSC158,Minimally Processed,0,False,False,False,False,False,False
HSC159,Processed,0,False,False,False,False,False,False
HSC160,Ultra Processed,1,True,False,False,False,False,False
HSC161,Ultra Processed,1,True,False,False,False,False,False
HSC162,Ultra Processed,2,True,True,False,False,False,False
HSC163,Ultra Processed,1,True,False,False,False,False,False
HSC164,Ultra Processed,0,False,False,False,False,False,False
HSC165,Processed,2,False,True,True,False,False,False
HSC166,Ultra Processed,2,True,True,False,False,False,False
HSC31,Minimally Processed,0,False,False,False,False,False,False
HSC32,Ultra Processed,0,False,False,False,False,False,False
HSC33,Processed,0,False,False,False,False,False,False
HSC34,Minimally Processed,0,False,False,False,False,False,False
HSC35,Minimally Processed,0,False,False,False,False,False,False
HSC36,Ultra Processed,0,False,False,False,False,False,False
HSC37,Minimally Processed,0,False,False,False,False,False,False
HSC38,Ultra Processed,0,False,False,False,False,False,False
